place_id,place_name, lat, long
1,安藤家,35.379834,136.267014
2,黒壁ガラス館,35.380729,136.267116
3,お旅所駐車場,35.380511,136.265711
4,えきまちテラス,35.379033,136.266084
5,こめ嘉,35.380631,136.267815
6,曳山博物館,35.381375,136.268948
7,文泉堂,35.380994,136.26963
8,大通寺,35.383419,136.269259
9,布工房Den,35.382103,136.269475
10,カフェロンドン,35.381943,136.267914
11,長浜城,35.377746,136.261422
12,北びわこホテルグラッツェ,35.373477,136.263751
13,浪漫ビール,35.376981,136.267719
14,長浜駅自由通路,35.378417,136.265018
15,湖北の案内所　どんどん,35.381948,136.270466
16,慶雲館,35.375915,136.266276
17,ロイヤルホテル,35.37409,136.262019